id, budget ,genres,genre_1,genre_2,genre_3,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_month,release_year,release_date, revenue ,runtime_minutes,spoken_languages,count_spoken_language,status,tagline,title,vote_average,vote_count,,
13006, $7.00 ,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 80, 'name': 'Crime'}]",Thriller,Action,Horror,tt0105459,en,Split Second,3.28,"[{'name': 'Entertainment', 'id': 7676}, {'name': 'Muse Productions', 'id': 15231}, {'name': 'Challenge Film Corporation', 'id': 75037}, {'name': 'XYZ Funding N.V.', 'id': 75038}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",May,1992,5/1/1992, $5.00 ,90,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,He's seen the future. Now he has to kill it.,Split Second,5.8,64,,
38140," $4,002,313.00 ","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",Action,Adventure,Comedy,tt0859760,en,Ladrón que roba a ladrón,1.02,"[{'name': 'Narrow Bridge Films', 'id': 6535}]",[],August,2007,8/31/2007, $6.00 ,98,"[{'iso_639_1': 'es', 'name': 'Español'}]",1,Released,,To Rob a Thief,6,4,,
48781," $6,400,000.00 ","[{'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",Thriller,Romance,,tt0113965,en,Never Talk to Strangers,7.51,"[{'name': 'TriStar Pictures', 'id': 559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",October,1995,10/20/1995, $6.00 ,86,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,"In A World Where Love Isn't Always Safe, Trust Can Be Deadly.",Never Talk to Strangers,4.7,31,,
38415, $7.00 ,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",Comedy,Drama,Foreign,tt1148165,en,Bran Nue Dae,0.27,[],[],August,2009,8/9/2009, $7.00 ,82,[],0,Released,Bran Nue Dae,Bran Nue Dae,5.2,6,,
108346," $2,000,000.00 ","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",Romance,Drama,,tt0144178,en,Dreaming of Joseph Lees,1.24,"[{'name': 'Fox Entertainment Group', 'id': 85721}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",October,1999,10/29/1999, $7.00 ,92,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,,Dreaming of Joseph Lees,6,2,,
12509, $6.00 ,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Drama,Romance,,tt0183659,en,Pollock,11.18,"[{'name': 'Fred Berner Films', 'id': 89312}, {'name': 'Zeke Productions', 'id': 89425}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",September,2000,9/6/2000, $8.00 ,122,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,A true portrait of life and art.,Pollock,6.6,91,,
28932, $11.00 ,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",Drama,Action,,tt0077531,en,F.I.S.T.,3.57,"[{'name': 'United Artists', 'id': 60}, {'name': 'chateau productions', 'id': 4880}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",April,1978,4/26/1978, $11.00 ,145,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,,F.I.S.T.,6.5,30,,
18475," $16,000,000.00 ","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Comedy,Drama,,tt0380277,en,The Cookout,1.76,"[{'name': 'Cookout Productions', 'id': 3494}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",September,2004,9/3/2004, $12.00 ,97,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,"This summer, get your grill on!",The Cookout,4.6,10,,
14844," $23,000,000.00 ","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Comedy,Romance,,tt0360139,en,Chasing Liberty,5.95,"[{'name': 'Alcon Entertainment', 'id': 1088}, {'name': 'ETIC Films', 'id': 2979}, {'name': 'C.R.G. International', 'id': 8291}, {'name': 'Trademark Films', 'id': 22153}, {'name': 'Micro Fusion 2003-2', 'id': 67252}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",January,2004,1/9/2004, $12.00 ,111,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",6,Released,How do you fall in love with the whole world watching?,Chasing Liberty,6.1,154,,
10397, $25.00 ,"[{'id': 18, 'name': 'Drama'}]",Drama,,,tt0145653,en,Angela's Ashes,4.50,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'IE', 'name': 'Ireland'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",December,1999,12/25/1999, $13.00 ,145,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,,Angela's Ashes,7,59,,
1613, $28.00 ,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",Thriller,Action,Comedy,tt0227984,en,The 51st State,6.37,"[{'name': 'Film Council', 'id': 246}, {'name': 'Alliance Atlantis Communications', 'id': 803}, {'name': 'The Film Consortium', 'id': 1218}, {'name': 'Focus Films', 'id': 1268}, {'name': 'Momentum Films', 'id': 1269}, {'name': 'National Lottery', 'id': 1270}, {'name': 'Canadian Film or Video Production Tax Credit (CPTC)', 'id': 8582}, {'name': 'Artists Production Group (APG)', 'id': 18620}, {'name': 'Fifty First Films', 'id': 52619}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",December,2001,12/7/2001, $14.00 ,93,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Nice Wheels. Dirty Deals. And One Mean Mother In A Kilt.,The 51st State,5.9,173,,
62796, $20.00 ,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Drama,Romance,,tt1831829,en,William & Kate,2.49,[],[],April,2011,4/18/2011, $15.00 ,83,[],0,Released,"A Prince, an ordinary girl. And a very British love story",William & Kate,5.8,30,,
11980, $8.00 ,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",Fantasy,Horror,Thriller,tt0114194,en,The Prophecy,10.19,"[{'name': 'Dimension Films', 'id': 7405}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",September,1995,9/1/1995, $16.00 ,98,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth.",The Prophecy,6.4,139,,
33927," $10,000,000.00 ","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Crime,Drama,Thriller,tt0106684,en,Deadfall,1.15,"[{'name': 'Trimark Pictures', 'id': 4063}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",October,1993,10/8/1993, $18.00 ,98,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",2,Released,...The ultimate con,Deadfall,3.1,14,,
37672, $118.00 ,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Comedy,Drama,Romance,tt0078199,en,"Same Time, Next Year",2.10,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",April,1978,4/23/1978, $19.00 ,119,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,They couldn't have celebrated happier anniversaries if they were married to each other.,"Same Time, Next Year",6.5,18,,
14055, $8.00 ,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Drama,Comedy,Romance,tt0477095,en,Starter for 10,5.14,"[{'name': 'BBC Films', 'id': 288}, {'name': 'Neal Street Productions', 'id': 1522}, {'name': 'Playtone', 'id': 4171}, {'name': 'Scion Films', 'id': 7419}, {'name': 'HBO Films', 'id': 7429}, {'name': 'Scamp Film and Theatre Ltd.', 'id': 35803}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",September,2006,9/13/2006, $21.00 ,92,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}]",2,Released,,Starter for 10,6.7,131,,
10944," $12,000,000.00 ","[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",Mystery,Thriller,,tt0199626,en,In the Cut,5.80,"[{'name': 'Pathe Productions', 'id': 21126}, {'name': 'Red Turtle', 'id': 21128}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",September,2003,9/9/2003, $23.00 ,119,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Everything you know about desire is dead wrong.,In the Cut,4.7,93,,
22649, $4.00 ,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",Drama,Romance,War,tt0022879,en,A Farewell to Arms,1.91,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",December,1932,12/8/1932, $25.00 ,89,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Every woman who has loved will understand,A Farewell to Arms,6.2,29,,
22649, $4.00 ,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",Drama,Romance,War,tt0022879,en,A Farewell to Arms,2.41,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",December,1932,12/8/1932, $25.00 ,89,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Every woman who has loved will understand,A Farewell to Arms,6.2,29,,
10174, $4.00 ,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",Documentary,Music,,tt0102370,en,Madonna: Truth or Dare,1.33,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Artisan Entertainment', 'id': 2188}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",May,1991,5/10/1991, $29.00 ,119,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",2,Released,,Madonna: Truth or Dare,6.3,32,,
41393," $2,000,000.00 ","[{'id': 53, 'name': 'Thriller'}]",Thriller,,,tt0429277,en,Zyzzyx Road,0.72,"[{'name': 'Zyzzyx LLC', 'id': 92534}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",February,2006,2/25/2006, $30.00 ,90,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Dead Ahead,Zyzzyx Road,4,4,,
193704, $500.00 ,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Comedy,Drama,,tt0361322,en,Assisted Living,0.26,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",February,2005,2/2/2005, $41.00 ,78,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,,Assisted Living,7.5,1,,
39356, $3.00 ,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",Drama,Comedy,,tt1560139,en,Boy,3.31,"[{'name': 'New Zealand Film Commission', 'id': 294}, {'name': 'Unison Films', 'id': 2372}, {'name': 'Whenua Films', 'id': 2498}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}]",February,2010,2/14/2010, $43.00 ,87,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'mi', 'name': ''}]",2,Released,"Summer, Girls, Gangs, Drugs ... its not easy being eleven.",Boy,7.5,66,,
2196," $9,000,000.00 ","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Comedy,Drama,,tt0795368,en,Death at a Funeral,8.83,"[{'name': 'Sidney Kimmel Entertainment', 'id': 737}, {'name': 'Parabolic Pictures', 'id': 1012}, {'name': 'Stable Way Entertainment', 'id': 1013}, {'name': 'Target Media Entertainment', 'id': 1014}, {'name': 'VIP 2 Medienfonds', 'id': 3801}, {'name': 'VIP 1 Medienfonds', 'id': 10760}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",February,2007,2/9/2007, $46.00 ,90,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,From director Frank Oz comes the story of a family that puts the F U in funeral.,Death at a Funeral,6.9,508,,
50641," $1,000,000.00 ","[{'id': 99, 'name': 'Documentary'}]",Documentary,,,tt0903943,en,The End of Poverty?,0.08,[],[],May,2008,5/19/2008, $57.00 ,106,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,"In a world where there is so much wealth, why is there still so much poverty?",The End of Poverty?,0,0,,
29231, $50.00 ,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Action,Crime,Drama,tt0113394,en,The Immortals,0.83,"[{'name': 'Nu Image Films', 'id': 925}, {'name': 'Mondofin B.V.', 'id': 5416}, {'name': 'End Productions', 'id': 38017}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",October,1995,10/5/1995, $83.00 ,98,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",3,Released,It was a chance of a lifetime. If they lived that long.,The Immortals,7.8,5,,
15417, $5.00 ,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Action,Adventure,Comedy,tt0077523,en,Every Which Way But Loose,6.76,"[{'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",December,1978,12/19/1978, $85.00 ,110,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Clint Eastwood will turn you Every Which Way But Loose,Every Which Way But Loose,6.2,126,,
39964, $1.00 ,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Comedy,Romance,,tt0120836,en,Lost & Found,1.34,"[{'name': 'Alcon Entertainment', 'id': 1088}, {'name': 'Dinamo Entertainment', 'id': 40675}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",April,1999,4/23/1999, $100.00 ,95,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,A comedy about a guy who would do anything to get the girl of his dreams - and did!,Lost & Found,4.9,26,,
212769, $15.00 ,"[{'id': 10402, 'name': 'Music'}]",Music,,,tt1828959,en,Make Your Move,6.79,"[{'name': 'CJ Entertainment', 'id': 7036}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",August,2013,8/7/2013, $122.00 ,110,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Move to your beat. Move to your moment. Move to your love.,Make Your Move,6.2,30,,
22717, $75.00 ,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",Action,Comedy,Crime,tt1084972,en,वांटेड,4.45,"[{'name': 'Sahara One Motion Pictures', 'id': 1842}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",September,2009,9/18/2009, $134.00 ,129,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",1,Released,"Mafia wants him DEAD !, Police wants him ALIVE !!",Wanted,5.2,32,,
47034, $5.00 ,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",Drama,Comedy,Foreign,tt0144134,en,The Cherry Orchard,0.00,[],"[{'iso_3166_1': 'GR', 'name': 'Greece'}, {'iso_3166_1': 'CY', 'name': 'Cyprus'}, {'iso_3166_1': 'FR', 'name': 'France'}]",January,1999,1/1/1999, $135.00 ,141,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",2,Released,,The Cherry Orchard,0,0,,
51942, $250.00 ,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}]",Drama,Comedy,Animation,tt0119346,en,I Married a Strange Person!,0.82,"[{'name': 'Bill Plympton Studios', 'id': 41680}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",August,1998,8/28/1998, $203.00 ,72,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,,I Married a Strange Person!,7.5,12,,
70026, $3.00 ,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Drama,Romance,,tt0104225,en,Falling From Grace,0.00,[],[],February,1992,2/21/1992, $232.00 ,100,[],0,Released,,Falling From Grace,5.3,3,,
228331," $5,000,000.00 ","[{'id': 18, 'name': 'Drama'}]",Drama,,,tt2275471,en,A Perfect Man,1.74,[],[],November,2013,11/1/2013, $388.00 ,95,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,,A Perfect Man,4.8,14,,
108923, $337.00 ,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",Adventure,Drama,,tt0019195,en,The Mysterious Lady,0.77,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",August,1928,8/4/1928, $551.00 ,89,[],0,Released,GRETA GARBO AND CONRAD NAGEL The Screen's Newest Discovery of Perfect Young Lovers,The Mysterious Lady,7.5,6,,
53863, $280.00 ,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",Romance,Comedy,Mystery,tt0027040,en,Star of Midnight,0.11,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",April,1935,4/19/1935, $831.00 ,90,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,"The titian-haired star of ""Gay Divorcee"" and ""Roberta"" joins hands with the master of all screen sleuths in a sparkling, mystery drama breathless with thrills...",Star of Midnight,5.3,3,,
59296, $1.00 ,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Comedy,Romance,,tt1436559,en,"Love, Wedding, Marriage",4.06,"[{'name': '120dB Films', 'id': 5113}, {'name': 'Scion Films', 'id': 7419}, {'name': 'Voodoo Production Services', 'id': 18668}, {'name': 'Chydzik Media Group', 'id': 52284}, {'name': 'First Wedding Productions', 'id': 52288}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",June,2011,6/3/2011," $1,378.00 ",90,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Here comes the ride.,"Love, Wedding, Marriage",5.1,73,,
44895," $1,200,000.00 ","[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",Crime,Comedy,,tt0204350,en,Poor White Trash,0.58,"[{'name': 'Kingsize Entertainment', 'id': 36242}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",June,2000,6/16/2000," $1,404.00 ",85,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Crime pays... just not enough,Poor White Trash,3.9,7,,
81048," $130,000.00 ","[{'id': 80, 'name': 'Crime'}]",Crime,,,tt0120042,en,Running Time,0.47,"[{'name': 'Blood Money Partners LP', 'id': 16004}, {'name': 'Panoramic Pictures', 'id': 16005}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",December,1997,12/18/1997," $1,596.00 ",70,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,Time is Running Out!,Running Time,6.2,5,,
74254," $130,000.00 ","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",Drama,Horror,Thriller,tt0455537,en,The House of Usher,0.12,[],[],September,2007,9/11/2007," $1,677.00 ",80,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",1,Released,Many have arrived. Few have survived.,The House of Usher,5,3,,
138222," $1,500,000.00 ","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Comedy,Drama,,tt1885300,en,Best Man Down,5.88,"[{'name': 'KODA Entertainment', 'id': 16947}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",October,2012,10/20/2012," $1,938.00 ",90,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,,Best Man Down,6.1,65,,
98339," $12,000,000.00 ","[{'id': 53, 'name': 'Thriller'}]",Thriller,,,tt1867093,en,The Samaritan,11.52,"[{'name': 'Quickfire Films', 'id': 4186}, {'name': 'H2O Motion Pictures', 'id': 11875}, {'name': '2262730 Ontario', 'id': 11876}, {'name': 'Middle Child Films Inc.', 'id': 11877}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",March,2012,3/2/2012," $2,521.00 ",90,"[{'iso_639_1': 'en', 'name': 'English'}]",1,Released,,The Samaritan,5.2,69,,
